id,en,jpn
ief_import,Import to clipboard,クリップボードから\nインポート
ief_imported,All items were imported.,全てのアイテムはインポートされました。
ief_exported,All items were exported.,全てのアイテムはエキスポートされました。
ief_export_notice,If you edit the item list in this dialog\x2c it will not be reflected in the export. The item list before the change will be the target.\nContiunue?,本ダイアログでのアイテムリストの編集をした場合エキスポートに反映されません。変更前のアイテムリストがタ対象となります。\nこのまま続行しますか？
ief_index,Index,インデックス
ief_name,Item name,アイテム名
ief_helpen,Explanation in English,説明(英語)
ief_helpjp,Explanation in Japanese,説明(日本語)
ief_method,Input Method,入力メソッド
iefm_edit,Edit,編集
iefm_cancel,Cancel,キャンセル
iefi_insert,Insert,インサート
iefi_remove,Remove,取消し
iefi_up,Up,上へ
iefi_down,Down,下へ
iefi_cancel,Cancel,キャンセル
ienf_title,New Item,New  Item(新規アイテム)
ieif_title,Edit Item Define,Edit Item Defien(アイテム定義編集)
,,
,,
,,
,,
,,
,,
,,
,,
iof_overwrite,If there is the same item\x2c overwrite\nit with the contents of import,同一アイテムがある場合、\nインポートの内容で上書き
,,
cns_select,Select a starter kit,スタートキット選択
cns_statemachine,State-machine name,ステートマシン名
cns_use_control,Use 'Control' for its tail.,語尾をControlにする
cns_src_path,Source folder path:,ソース用フォルダパス:
cns_doc_under_src,Use 'doc' folder under the src path,ソース直下の’doc’フォルダを使用
cns_free_xls,Specify another doc folder,ドキュメントフォルダを別指定
cns_toold,Go to prevous starterkit,旧スタートキット用\n新規作成へ
cns_create,Create,作成
cns_xlsdir_eq_srcdir,Same as source save path,ソース用フォルダパスと同じ
cns_xls_path,Document folder path:,ドキュメント用フォルダパス：
cns_nothing,"If nothing is shown here and you are not familiar with StateGo\x2c please click ""Reset"" button above this panel.",何も表示されておらず対処方法が不明な時は、本パネル上の [Reset]ボタンをクリックしてください。
,,
del_Confirmation,Delete Confirmation,削除確認
del_Is_it_ok_to_delete,Is it ok to delete?,次のステートを削除します。
del_focusing_nodes,Is it ok to delete selecting states?,選択中のステートを削除します。
del_delete_group,Is it ok to delete ?,次のグループを削除します。
,,
ftgb_title,Focus Record,フォーカス履歴
hrgb_title,History Record,変更履歴
hrgb_help,Ctrl+H -- On/Off\nCtrl+Z -- Back\nCtrl+Y -- Forward,Ctrl+H -- On/Off\nCtrl+Z -- 戻る\nCtrl+Y -- 進む
ftgb_help,Ctrl+T -- On/Off\n[ -- Back\n] -- Forward,Ctrl+T -- On/Off\n [ -- 戻る\n ] -- 進む
,,
optionform,Option Setting,Option(オプション設定)
optionform_desc,Current status  note:change to click.,現在の状況 ※クリックで変更
,,
oec_ask,The following solution file wiil be used.  When canceling\x2c open without the solution file.,以下のソリューションファイルを使用します。よろしいでしょうか？キャンセル時はソリューションファイルを指定せずに開きます。
oec_cfm,Confirmation,確認
oec_ooc,Open the editor from Unity( CANCEL). Or force to open(OK)?,Unity Editorよりソースエディタを起動してください(CANCEL)。それとも、強制的に起動しますか?(OK)
,,
setlf_disc,Chang and save the language name and the framework name.\nSource editor command is recorded using the language name and framework name as a key.,言語名とフレームワーク名を変更し保存します。\n\nソースエディタのコマンドは言語とフレームワーク名をキーにしてPC毎に記録されます。
setlf_lang,Language,言語
setlf_fw,Framework,フレームワーク
setlf_hist,History,履歴
setlf_warn,Edit is disabled because some values are changed. ,保存されてない変更があるため編集ができません。変更がない状態にしてからお使い下さい。
,,
ssed_title,Set Source Editor,Set Source Editor(ソースエディタ設定)
